episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
40,1.0,3.199932435790611,0.6830736289043243,0.19824525234606816,13.176431887337131,1.9888343970601605,[13.176431887337131, 1.9888343970601605],0.0,False,True,0.7916781552665983,1,17.709159380834848,113.597,prepare,0.0
40,2.0,3.1997327938476237,0.6831032114197831,0.18326595495146542,30.0,1.4478463730988704,[30.0, 1.4478463730988704],1.0,False,True,0.7905513581379284,1,17.709159380834848,113.665,in_progress,0.0
40,3.0,3.2064845625205955,0.6845917136886787,0.4335858594367396,14.280428706660146,1.0,[14.280428706660146, 1.0],1.0,False,True,0.8287039044886426,1,17.709159380834848,113.732,in_progress,0.0
40,4.0,3.2251747288737125,0.68977593662454,1.6463377625017963,-27.766890902850268,3.0,[-27.766890902850268, 3.0],1.0,False,True,0.9342743686172698,1,17.709159380834848,113.798,in_progress,0.0
40,5.0,3.2568905505880235,0.6962774775019381,2.7528012175054517,30.0,1.0,[30.0, 1.0],1.0,False,True,1.1134231351600976,1,17.709159380834848,113.864,in_progress,0.0
40,6.0,3.2956308502742067,0.7007175046944334,3.196519891597521,-30.0,3.0,[-30.0, 3.0],1.0,False,True,1.3322198189568308,2,17.709159380834848,113.932,in_progress,0.0
40,7.0,3.3424381823338205,0.7115550914601075,4.705931741451294,30.0,2.0759108472278327,[30.0, 2.0759108472278327],1.0,False,True,1.5966246515020561,2,17.709159380834848,114.0,in_progress,0.0
40,8.0,3.3972117464562177,0.7135342798558338,4.014934385389056,-10.136176867436934,3.0,[-10.136176867436934, 3.0],1.0,False,True,1.9057190620002904,2,17.709159380834848,114.056,in_progress,0.0
40,9.0,3.4723365978667005,0.7172371706309103,3.5942255917041024,30.0,1.8774369330709086,[30.0, 1.8774369330709086],1.0,False,True,2.3299390160089892,3,17.709159380834848,114.133,in_progress,0.0
40,10.0,3.5424493467034956,0.7164969506257252,2.3430446161599354,-30.0,1.0,[-30.0, 1.0],1.0,False,True,2.725876836728604,3,17.709159380834848,114.199,in_progress,0.0
40,11.0,3.6282929390019416,0.7211428380086808,2.603858061783806,-1.7403084593399356,1.0,[-1.7403084593399356, 1.0],1.0,False,True,3.210628380877631,4,17.709159380834848,114.267,in_progress,0.0
40,12.0,3.7068923885023324,0.7175918815693281,1.0280592388193235,-0.40135271098004566,2.771257858966044,[-0.40135271098004566, 2.771257858966044],1.0,False,True,3.6544512080018063,4,17.709159380834848,114.332,in_progress,0.0
40,13.0,3.824866279760273,0.7149401534259006,0.04277978691723554,30.0,1.8679873510609215,[30.0, 1.8679873510609215],1.0,False,True,4.320615404189793,5,17.709159380834848,114.395,in_progress,0.0
40,14.0,3.881399921452085,0.716865787581391,0.15841517213732664,-30.0,1.6835222263130465,[-30.0, 1.6835222263130465],1.0,False,True,4.639853076024913,5,17.709159380834848,114.463,in_progress,0.0
40,15.0,3.9849822210887536,0.722143261379445,1.1813106924007157,-30.0,2.121599503917537,[-30.0, 2.121599503917537],1.0,False,True,5.224771374656543,6,17.709159380834848,114.536,in_progress,0.0
40,16.0,4.0924744290591555,0.7094409908398642,-2.032334623288409,-11.199395011224084,1.9212440086638685,[-11.199395011224084, 1.9212440086638685],1.0,False,True,5.8317329233195405,7,17.709159380834848,114.592,in_progress,0.0
40,17.0,4.19583537881974,0.6860050319470504,-6.251094445910273,14.970375218381868,2.539195001348044,[14.970375218381868, 2.539195001348044],1.0,False,True,6.415345127320342,8,17.709159380834848,114.671,in_progress,0.0
40,18.0,4.325687030319885,0.6615374991347225,-8.181526321292106,-1.9989332690496582,1.0,[-1.9989332690496582, 1.0],1.0,False,True,7.148541185615269,8,17.709159380834848,114.736,in_progress,0.0
40,19.0,4.447893691302596,0.6427969973520506,-8.355354064560313,30.0,3.0,[30.0, 3.0],1.0,False,True,7.8385800205796174,9,17.709159380834848,114.805,in_progress,0.0
40,20.0,4.562387226205776,0.6276963072130356,-7.69474285800885,30.0,3.0,[30.0, 3.0],1.0,False,True,8.48506744238637,10,17.709159380834848,114.868,in_progress,0.0
40,21.0,4.690270960246046,0.631147632237907,-3.346974329599446,22.32320406200627,2.2242034789588114,[22.32320406200627, 2.2242034789588114],1.0,False,True,9.207207839928838,11,17.709159380834848,114.93,in_progress,0.0
40,22.0,4.835254771190171,0.6543797755265293,3.8627837203679527,12.292113867407956,1.7516904731236789,[12.292113867407956, 1.7516904731236789],1.0,False,True,10.025947070743372,12,17.709159380834848,115.002,in_progress,0.0
40,23.0,4.975848060922287,0.6902401670218303,10.392361900023452,8.558813648284293,1.948170313221578,[8.558813648284293, 1.948170313221578],0.5,False,True,10.819926598697691,13,17.709159380834848,115.082,in_progress,0.0
40,24.0,5.114535511941264,0.7339295679420405,14.36967469039909,29.09182348174395,3.0,[29.09182348174395, 3.0],0.5,False,True,11.60315183501153,14,17.709159380834848,115.133,in_progress,0.0
40,25.0,5.225501112865143,0.7784272468801824,17.723668875517667,0.44554676258284687,1.0,[0.44554676258284687, 1.0],0.5,False,True,12.229813533931278,14,17.709159380834848,115.201,in_progress,0.0
40,26.0,5.35189972279105,0.8349389157196536,21.941729494119986,30.0,2.2441683715200873,[30.0, 2.2441683715200873],0.5,False,True,12.943781999325331,15,17.709159380834848,115.266,in_progress,0.0
40,27.0,5.471425859444897,0.8928686395742981,24.380457763643815,-25.823867945994014,2.115789142683874,[-25.823867945994014, 2.115789142683874],0.5,False,True,13.620066091928852,16,17.709159380834848,115.333,in_progress,0.0
40,28.0,5.602004444201095,0.9593160599230832,25.52858387285856,30.0,1.0,[30.0, 1.0],0.5,False,True,14.357965507420989,17,17.709159380834848,115.4,in_progress,0.0
40,29.0,5.704273331056411,1.0044997379282254,24.76774396914778,30.0,1.052653150305715,[30.0, 1.052653150305715],0.5,False,True,14.932596302103784,18,17.709159380834848,115.468,in_progress,0.0
40,30.0,5.795582334122193,1.0493231294349663,25.366907044772955,-30.0,2.433618069434675,[-30.0, 2.433618069434675],0.5,False,False,15.439258219755445,18,17.709159380834848,115.531,in_progress,0.0
40,31.0,5.922429898239889,1.107036388407766,24.3930400736836,-0.8504212011217902,2.630917772896934,[-0.8504212011217902, 2.630917772896934],0.5,False,False,16.145068889938035,19,17.709159380834848,115.6,in_progress,0.0
40,32.0,6.014575652190983,1.1409789885215162,22.853820110777338,14.287854753182494,1.0,[14.287854753182494, 1.0],0.5,False,False,16.663775347570475,20,17.709159380834848,115.666,in_progress,0.0
40,33.0,6.129793406409563,1.196421336097716,23.859895444717733,-30.0,2.8375042143573324,[-30.0, 2.8375042143573324],0.5,False,False,17.41013799352237,21,17.709159380834848,115.734,in_progress,0.0
40,34.0,6.2234078577364995,1.2428080124480692,24.870568900462445,28.53945293173725,3.0,[28.53945293173725, 3.0],0.5,True,False,18.12400689588655,21,17.709159380834848,115.806,off_track,0.0
41,1.0,4.085345576651215,0.6838225027522088,0.07687599313667705,18.637294428961553,1.0,[18.637294428961553, 1.0],0.0,False,True,0.7914274912068829,7,17.709159380834848,115.933,prepare,0.0
41,2.0,4.085190493550231,0.683613237488097,0.01993050474265615,-24.318705942543758,2.5631911836161265,[-24.318705942543758, 2.5631911836161265],1.0,False,True,0.7905513581378705,7,17.709159380834848,115.998,in_progress,0.0
41,3.0,4.093648984969729,0.6844892278948941,0.323883600917504,30.0,2.2185042819388907,[30.0, 2.2185042819388907],1.0,False,True,0.8383164445148521,7,17.709159380834848,116.069,in_progress,0.0
41,4.0,4.114632190227166,0.6989120879242897,3.7445509558561674,-30.0,3.0,[-30.0, 3.0],1.0,False,True,0.9568331436837372,7,17.709159380834848,116.136,in_progress,0.0
41,5.0,4.145176208770858,0.7144746559643356,6.997477072481987,-2.9929683352501932,3.0,[-2.9929683352501932, 3.0],1.0,False,True,1.129340041652291,7,17.709159380834848,116.198,in_progress,0.0
41,6.0,4.192017304710819,0.7224148319339305,7.485774030656705,24.860083122746595,2.575875950801531,[24.860083122746595, 2.575875950801531],1.0,False,True,1.3938579707189453,8,17.709159380834848,116.263,in_progress,0.0
41,7.0,4.259888708931328,0.7423442064072958,9.986099620093164,25.801916797785786,3.0,[25.801916797785786, 3.0],1.0,False,True,1.7771556324285898,8,17.709159380834848,116.333,in_progress,0.0
41,8.0,4.314982585891291,0.7734143904202964,14.778610483367313,2.7720495858502545,2.0045918382407146,[2.7720495858502545, 2.0045918382407146],0.5,False,True,2.0883225538117776,8,17.709159380834848,116.397,in_progress,0.0
41,9.0,4.384212900671168,0.8145403490532938,19.63812383497543,-22.432491137094445,3.0,[-22.432491137094445, 3.0],0.5,False,True,2.4793354610918277,9,17.709159380834848,116.467,in_progress,0.0
41,10.0,4.4796731044870315,0.8562383176636079,21.013020168410925,-30.0,1.8937567787764895,[-30.0, 1.8937567787764895],0.5,False,True,3.018460460973449,9,17.709159380834848,116.534,in_progress,0.0
41,11.0,4.592414502373557,0.8825933992813173,17.682882471358575,-30.0,1.3996482540031066,[-30.0, 1.3996482540031066],0.5,False,True,3.6551543574605287,10,17.709159380834848,116.602,in_progress,0.0
41,12.0,4.691573436551397,0.8967429115066289,14.136069999633008,18.420788504846584,1.7709657769229583,[18.420788504846584, 1.7709657769229583],0.5,False,True,4.215113901972334,11,17.709159380834848,116.668,in_progress,0.0
41,13.0,4.788399545645244,0.9096595368789437,11.66775330775544,30.0,1.3807815997374726,[30.0, 1.3807815997374726],0.5,False,True,4.7619197230802035,12,17.709159380834848,116.737,in_progress,0.0
41,14.0,4.894292986638666,0.9389371317815769,13.224206277359109,-21.27040820862223,1.913320758850427,[-21.27040820862223, 1.913320758850427],0.5,False,True,5.359947891208522,12,17.709159380834848,116.802,in_progress,0.0
41,15.0,4.997392486412146,0.9662993001367053,13.725734155840144,30.0,1.0,[30.0, 1.0],0.5,False,True,5.942189710411204,13,17.709159380834848,116.866,in_progress,0.0
41,16.0,5.09492519525285,0.988424039170926,13.394549523915094,30.0,2.0818760059933585,[30.0, 2.0818760059933585],0.5,False,True,6.492922720294468,14,17.709159380834848,116.93,in_progress,0.0
41,17.0,5.182933047451568,1.0183257969421298,15.29057196929929,0.7370260143431118,2.1416604524293197,[0.7370260143431118, 2.1416604524293197],0.5,False,False,6.989849469782174,14,17.709159380834848,116.997,in_progress,0.0
41,18.0,5.288386120898575,1.0542618881488728,16.566016581201698,-30.0,1.9004996398153922,[-30.0, 1.9004996398153922],0.5,False,False,7.585382653493626,15,17.709159380834848,117.064,in_progress,0.0
