episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
180,1.0,3.1998801662460634,0.6831807169304746,0.23063536171937252,-13.963630985687892,2.9273858037091918,[-13.963630985687892, 2.9273858037091918],0.0,False,True,0.7913849355516863,1,17.709159380834848,653.406,prepare,0.0
180,2.0,3.1997327938476787,0.6831032114197834,0.18326595495146542,-27.78981574625864,1.5187301522029046,[-27.78981574625864, 1.5187301522029046],1.0,False,True,0.7905513581379284,1,17.709159380834848,653.474,in_progress,0.0
180,3.0,3.2088678265719768,0.6825232411953712,0.16037309288915724,-12.539904910107136,1.0,[-12.539904910107136, 1.0],1.0,False,True,0.8421242798748776,1,17.709159380834848,653.538,in_progress,0.0
180,4.0,3.2306731772361075,0.6782790141956202,-0.8586441670890708,7.505305329750932,1.266045662690388,[7.505305329750932, 1.266045662690388],1.0,False,True,0.9652235294580879,1,17.709159380834848,653.604,in_progress,0.0
180,5.0,3.2681508399244095,0.6771103939411754,-1.0262416521587772,28.9583973507549,2.767389657245748,[28.9583973507549, 2.767389657245748],1.0,False,True,1.176841869917085,1,17.709159380834848,653.662,in_progress,0.0
180,6.0,3.3180228859012013,0.6903702452503058,2.5525675944846427,-30.0,2.3032035563993283,[-30.0, 2.3032035563993283],1.0,False,True,1.458573440383342,2,17.709159380834848,653.743,in_progress,0.0
180,7.0,3.384452142904495,0.7111766662390523,6.531580054216996,-30.0,2.5586583640057166,[-30.0, 2.5586583640057166],1.0,False,True,1.833664818277279,2,17.709159380834848,653.803,in_progress,0.0
180,8.0,3.4564382702415193,0.7116800477897057,4.789565805381117,-30.0,1.7486491817634504,[-30.0, 1.7486491817634504],1.0,False,True,2.240156459673265,3,17.709159380834848,653.877,in_progress,0.0
180,9.0,3.5382610491958695,0.6942193564863313,-0.5145094265347342,-29.421879763454303,2.9893373581905722,[-29.421879763454303, 2.9893373581905722],1.0,False,True,2.7021766124748567,3,17.709159380834848,653.942,in_progress,0.0
180,10.0,3.632736969112975,0.6572080580901284,-8.359096075089541,-9.5098189683263,1.0903657692549158,[-9.5098189683263, 1.0903657692549158],1.0,False,True,3.2355800809296618,4,17.709159380834848,654.023,in_progress,0.0
180,11.0,3.745445631944069,0.6011653103595472,-17.10312207255271,-30.0,1.8294563726293054,[-30.0, 1.8294563726293054],0.5,False,True,3.8719077717786496,5,17.709159380834848,654.076,in_progress,0.0
