episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
420,1.0,3.200015340443508,0.6830878681843537,0.1629351918085331,30.0,1.0,[30.0, 1.0],0.0,False,True,0.7921465556715395,1,17.709159380834848,2321.772,prepare,0.0
420,2.0,3.199732793847773,0.6831032114197837,0.18326595495146542,14.73213663195245,1.0,[14.73213663195245, 1.0],1.0,False,True,0.7905513581379272,1,17.709159380834848,2321.833,in_progress,0.0
420,3.0,3.2097141214982505,0.6837350736768688,0.3019277899376166,-30.0,1.0,[-30.0, 1.0],1.0,False,True,0.8469193478096833,1,17.709159380834848,2321.9,in_progress,0.0
420,4.0,3.233972358515817,0.673146321981627,-2.301151134619909,-30.0,1.0,[-30.0, 1.0],1.0,False,True,0.9838089261140968,1,17.709159380834848,2321.972,in_progress,0.0
420,5.0,3.2696877715210353,0.6521926584702185,-6.925891781283093,30.0,1.0,[30.0, 1.0],1.0,False,True,1.1853051303226778,1,17.709159380834848,2322.039,in_progress,0.0
420,6.0,3.306558976692878,0.6354031904386591,-10.063033472495105,30.0,1.0,[30.0, 1.0],0.5,False,True,1.3933638572620184,2,17.709159380834848,2322.104,in_progress,0.0
420,7.0,3.352659574873809,0.6312755907078365,-9.163595250877147,30.0,1.028518649030727,[30.0, 1.028518649030727],1.0,False,True,1.6536485064587763,2,17.709159380834848,2322.17,in_progress,0.0
420,8.0,3.4071373718524933,0.6486782185638659,-3.1355262763392386,30.0,1.0,[30.0, 1.0],1.0,False,True,1.961674187084579,2,17.709159380834848,2322.241,in_progress,0.0
420,9.0,3.462235792683029,0.6778235921150124,4.237025103594745,3.728715644865588,1.0,[3.728715644865588, 1.0],1.0,False,True,2.2728454122570056,3,17.709159380834848,2322.303,in_progress,0.0
420,10.0,3.5241904733394898,0.7108552795541598,10.580500860248184,-30.0,2.9049314377644597,[-30.0, 2.9049314377644597],0.5,False,True,2.622760119208252,3,17.709159380834848,2322.371,in_progress,0.0
420,11.0,3.5910909017124335,0.7270400032070354,11.275113283887304,-30.0,3.0,[-30.0, 3.0],0.5,False,True,3.0005692776589137,4,17.709159380834848,2322.437,in_progress,0.0
420,12.0,3.6853878520105976,0.724918945025448,6.74955096343168,-30.0,3.0,[-30.0, 3.0],1.0,False,True,3.533034960986984,4,17.709159380834848,2322.494,in_progress,0.0
420,13.0,3.780305436109909,0.7053073155898556,0.07002766618516787,0.5641735868873958,1.0,[0.5641735868873958, 1.0],1.0,False,True,4.06897371512552,5,17.709159380834848,2322.576,in_progress,0.0
420,14.0,3.8759967793158854,0.6809893909181872,-6.2821569186598545,30.0,1.1738819226952635,[30.0, 1.1738819226952635],1.0,False,True,4.60927216926128,5,17.709159380834848,2322.647,in_progress,0.0
420,15.0,3.982150935609397,0.6713310523394797,-7.251219178549564,-0.7054767312975905,2.3649234639294745,[-0.7054767312975905, 2.3649234639294745],1.0,False,True,5.208683992250832,6,17.709159380834848,2322.706,in_progress,0.0
420,16.0,4.064854025111981,0.6679309067161237,-5.904337134831335,29.142252119287797,1.0567044205916227,[29.142252119287797, 1.0567044205916227],1.0,False,True,5.6756847196107945,7,17.709159380834848,2322.767,in_progress,0.0
