episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
100,1.0,3.1999020844519857,0.6829153307295097,0.10454455013860647,-1.6393139597531459,1.4781150029319774,[-1.6393139597531459, 1.4781150029319774],0.0,False,True,0.7915039091970768,1,17.709159380834848,288.867,prepare,0.0
100,2.0,3.199732793847647,0.6831032114197833,0.18326595495146542,30.0,1.0,[30.0, 1.0],1.0,False,True,0.7905513581379281,1,17.709159380834848,288.934,in_progress,0.0
100,3.0,3.2067798464526516,0.6839336923630561,0.2724736377267761,-21.403878384014234,2.4790508539147966,[-21.403878384014234, 2.4790508539147966],1.0,False,True,0.8303594188782139,1,17.709159380834848,288.998,in_progress,0.0
100,4.0,3.2282083641532386,0.6893671712829534,1.095450377216845,-6.829994676453609,2.645803647408256,[-6.829994676453609, 2.645803647408256],1.0,False,True,0.9514011316594517,1,17.709159380834848,289.066,in_progress,0.0
100,5.0,3.262211355453026,0.6834096832909037,-0.46931408473321445,30.0,3.0,[30.0, 3.0],1.0,False,True,1.1433573265393497,1,17.709159380834848,289.131,in_progress,0.0
100,6.0,3.314720002551131,0.6837463536299123,-0.18448429493009685,-30.0,2.5863114455099163,[-30.0, 2.5863114455099163],1.0,False,True,1.439865477824942,2,17.709159380834848,289.2,in_progress,0.0
100,7.0,3.3746591596223574,0.6885362114616826,0.8132986771680429,-30.0,2.6663807576797667,[-30.0, 2.6663807576797667],1.0,False,True,1.778333434476087,2,17.709159380834848,289.278,in_progress,0.0
100,8.0,3.450129777454789,0.6729869066957288,-2.9464999625365236,-30.0,1.0,[-30.0, 1.0],1.0,False,True,2.2044782988814786,3,17.709159380834848,289.339,in_progress,0.0
100,9.0,3.5286533268577758,0.6428480803651032,-8.719447763956378,30.0,1.0,[30.0, 1.0],1.0,False,True,2.6478090136183807,3,17.709159380834848,289.417,in_progress,0.0
100,10.0,3.615123941321384,0.6211823779217737,-10.361693111718683,30.0,1.1005662154728082,[30.0, 1.1005662154728082],0.5,False,True,3.136042444709329,4,17.709159380834848,289.464,in_progress,0.0
100,11.0,3.667013401294499,0.6169758232861696,-9.167127215277807,30.0,1.7149708675534399,[30.0, 1.7149708675534399],1.0,False,True,3.4290504077807933,4,17.709159380834848,289.529,in_progress,0.0
100,12.0,3.7437611520509297,0.6218511387119657,-5.341994014639808,22.225779907254505,2.4603462412202513,[22.225779907254505, 2.4603462412202513],1.0,False,True,3.8624395131795524,5,17.709159380834848,289.592,in_progress,0.0
100,13.0,3.8267295928096723,0.6393521706819588,0.2790248750603519,27.363943617518558,2.1394353457330593,[27.363943617518558, 2.1394353457330593],1.0,False,True,4.330988677118496,5,17.709159380834848,289.672,in_progress,0.0
100,14.0,3.9302722374187096,0.6792402837173092,8.761883863101582,-16.40079776835089,2.5179405363475835,[-16.40079776835089, 2.5179405363475835],1.0,False,True,4.915751123004989,6,17.709159380834848,289.739,in_progress,0.0
100,15.0,4.047451199247816,0.7258513133082144,15.041638016496234,-30.0,1.698445903755187,[-30.0, 1.698445903755187],0.5,False,True,5.577528168023355,7,17.709159380834848,289.797,in_progress,0.0
100,16.0,4.149744732450717,0.7519479106195788,15.230663566050003,-23.961075576582314,2.267670491722363,[-23.961075576582314, 2.267670491722363],0.5,False,True,6.155212408190081,7,17.709159380834848,289.863,in_progress,0.0
100,17.0,4.270557723454496,0.7693104309009933,12.06394963011814,11.20686463086507,1.9497955565353458,[11.20686463086507, 1.9497955565353458],0.5,False,True,6.837456127189186,8,17.709159380834848,289.937,in_progress,0.0
100,18.0,4.396430758152417,0.785356382064727,9.814517632457699,-14.479235508898787,1.898364103288221,[-14.479235508898787, 1.898364103288221],1.0,False,True,7.54826793863495,9,17.709159380834848,290.0,in_progress,0.0
100,19.0,4.518236696637671,0.8027579814266222,8.990236898359138,-30.0,1.0,[-30.0, 1.0],1.0,False,True,8.2361137698072,10,17.709159380834848,290.068,in_progress,0.0
100,20.0,4.6419640876758805,0.8105112276601545,6.630754344813169,-30.0,3.0,[-30.0, 3.0],1.0,False,True,8.934801102500579,11,17.709159380834848,290.135,in_progress,0.0
100,21.0,4.762930148522513,0.8114373817764352,3.8897686442684343,-30.0,3.0,[-30.0, 3.0],1.0,False,True,9.617885905711605,11,17.709159380834848,290.2,in_progress,0.0
100,22.0,4.90249477304945,0.7926488933536421,-2.0011174802102647,21.74480924780326,1.1801021122655686,[21.74480924780326, 1.1801021122655686],1.0,False,True,10.405940484684963,12,17.709159380834848,290.268,in_progress,0.0
100,23.0,5.035104880070898,0.7636828157471467,-8.199723754909181,27.490056452780273,1.0,[27.490056452780273, 1.0],1.0,False,True,11.15468252999801,13,17.709159380834848,290.334,in_progress,0.0
100,24.0,5.15693267046276,0.7472987957121652,-9.048183022690752,28.662055038492483,1.0,[28.662055038492483, 1.0],1.0,False,True,11.84256850431762,14,17.709159380834848,290.402,in_progress,0.0
100,25.0,5.254005439147961,0.7396353979401594,-7.5052180794760455,-21.368938852775408,1.0,[-21.368938852775408, 1.0],1.0,False,True,12.390705476649769,15,17.709159380834848,290.467,in_progress,0.0
100,26.0,5.351354220990772,0.7340469797692335,-5.838712853937626,10.650170696025775,1.7498460327697798,[10.650170696025775, 1.7498460327697798],1.0,False,True,12.940446000164876,15,17.709159380834848,290.528,in_progress,0.0
100,27.0,5.437598928898541,0.7299754225215238,-4.674160676887252,30.0,2.805994636689842,[30.0, 2.805994636689842],1.0,False,True,13.427441854916678,16,17.709159380834848,290.601,in_progress,0.0
100,28.0,5.539910065932106,0.7388666158566493,-0.6456070974322152,5.13991040052651,1.0,[5.13991040052651, 1.0],1.0,False,True,14.005508075809859,17,17.709159380834848,290.665,in_progress,0.0
100,29.0,5.641144615391159,0.7672769433898986,5.768738174963376,-30.0,1.9013974451267774,[-30.0, 1.9013974451267774],1.0,False,True,14.576555576286667,17,17.709159380834848,290.733,in_progress,0.0
100,30.0,5.73287804120699,0.7907865875782847,8.610668788913047,30.0,1.4315162986847194,[30.0, 1.4315162986847194],1.0,False,True,15.094512406828258,18,17.709159380834848,290.783,in_progress,0.0
100,31.0,5.836992608685443,0.8105302621710336,9.51660393844866,24.12276533530835,2.4539135281651054,[24.12276533530835, 2.4539135281651054],1.0,False,True,15.679321986931338,19,17.709159380834848,290.874,in_progress,0.0
100,32.0,5.947758722130578,0.8530113541984339,14.54926580172652,24.773935740015773,2.2820333836238995,[24.773935740015773, 2.2820333836238995],0.5,False,True,16.30009149303573,19,17.709159380834848,290.933,in_progress,0.0
100,33.0,6.038220504886356,0.904055364437765,20.436326673576115,25.914768249563338,1.6965687397780638,[25.914768249563338, 1.6965687397780638],0.5,False,True,16.808481319548076,20,17.709159380834848,290.999,in_progress,0.0
100,34.0,6.151777542711281,0.9857946020416306,28.050510409020422,22.107883734120016,3.0,[22.107883734120016, 3.0],0.5,False,True,17.50382427810831,21,17.709159380834848,291.061,in_progress,0.0
100,35.0,6.245912964582207,1.0690749579294252,34.32462522781427,-10.238502111919544,1.5515598148266891,[-10.238502111919544, 1.5515598148266891],0.5,False,False,18.169687773342783,21,17.709159380834848,291.141,in_progress,0.0
100,36.0,6.344475824065064,1.1601835605673103,40.2224865691569,28.617418657338256,2.5231128711153543,[28.617418657338256, 2.5231128711153543],0.5,False,False,18.9050119047142,22,17.709159380834848,291.194,in_progress,0.0
100,37.0,6.428861609206435,1.2404463219684596,42.916074581895224,-30.0,1.0,[-30.0, 1.0],0.5,False,False,20.03355811273976,24,17.709159380834848,291.264,in_progress,0.0
100,38.0,6.511331690191966,1.336223147803336,47.238631406888175,-24.75930701513817,3.0,[-24.75930701513817, 3.0],0.5,True,False,21.501253218368138,25,17.709159380834848,291.331,off_track,0.0
101,1.0,4.085283294934419,0.6837156108292561,0.050307255048440344,-22.381345017965835,2.934430403185517,[-22.381345017965835, 2.934430403185517],0.0,False,True,0.7910755893932663,7,17.709159380834848,291.46,prepare,0.0
101,2.0,4.085190493550254,0.6836132374880971,0.01993050474270704,12.07419402088506,1.0,[12.07419402088506, 1.0],1.0,False,True,0.7905513581378677,7,17.709159380834848,291.531,in_progress,0.0
101,3.0,4.091912012307438,0.6835805802624715,0.00291581176798383,-14.968113125696117,1.5982725964556161,[-14.968113125696117, 1.5982725964556161],1.0,False,True,0.8285063330751068,7,17.709159380834848,291.598,in_progress,0.0
101,4.0,4.1146042835248595,0.6803517814611942,-0.7340968491929535,-30.0,2.50971868683367,[-30.0, 2.50971868683367],1.0,False,True,0.9566384876495595,7,17.709159380834848,291.667,in_progress,0.0
101,5.0,4.1533025942032555,0.6640294926349526,-4.4653301086298445,30.0,1.0,[30.0, 1.0],1.0,False,True,1.175127314937399,7,17.709159380834848,291.733,in_progress,0.0
101,6.0,4.198103069935373,0.6508008348714961,-7.158245195659423,30.0,1.0,[30.0, 1.0],1.0,False,True,1.4280799969783307,8,17.709159380834848,291.795,in_progress,0.0
101,7.0,4.242533548823571,0.65116694164559,-5.78006711115594,13.879688761282075,3.0,[13.879688761282075, 3.0],1.0,False,True,1.678970537033235,8,17.709159380834848,291.865,in_progress,0.0
101,8.0,4.305773763775897,0.6638288640008928,-1.5094555393957039,-6.077730818336889,2.1773494903837944,[-6.077730818336889, 2.1773494903837944],1.0,False,True,2.0360997034004638,8,17.709159380834848,291.932,in_progress,0.0
